Date,Year,Month,phase_soi,SOI,dSST3.4,phase_nino,MEI,phase_MEI
1/1/1981,1981,Jan,Neutral Phase,0.4,-0.38,Neutral Phase,-0.36,Neutral Phase
2/1/1981,1981,Feb,Cool Phase/La Nina,-0.2,-0.62,Cool Phase/La Nina,-0.23,Neutral Phase
3/1/1981,1981,Mar,Neutral Phase,-1.3,-0.51,Neutral Phase,0.33,Neutral Phase
4/1/1981,1981,Apr,Neutral Phase,-0.1,-0.29,Neutral Phase,0.43,Neutral Phase
5/1/1981,1981,May,Neutral Phase,0.8,-0.3,Neutral Phase,-0.24,Neutral Phase
6/1/1981,1981,Jun,Neutral Phase,1.2,-0.19,Neutral Phase,-0.7,Cool Phase/La Nina
7/1/1981,1981,Jul,Neutral Phase,0.8,-0.37,Neutral Phase,-0.61,Cool Phase/La Nina
8/1/1981,1981,Aug,Neutral Phase,0.7,-0.32,Neutral Phase,-0.34,Neutral Phase
9/1/1981,1981,Sep,Neutral Phase,0.3,-0.04,Neutral Phase,-0.07,Neutral Phase
10/1/1981,1981,Oct,Neutral Phase,-0.4,-0.11,Neutral Phase,-0.16,Neutral Phase
11/1/1981,1981,Nov,Neutral Phase,0.2,-0.23,Neutral Phase,-0.27,Neutral Phase
12/1/1981,1981,Dec,Neutral Phase,0.5,-0.11,Neutral Phase,-0.19,Neutral Phase
1/1/1982,1982,Jan,Neutral Phase,1.2,0.11,Neutral Phase,-0.43,Neutral Phase
2/1/1982,1982,Feb,Neutral Phase,0.3,-0.15,Neutral Phase,-0.49,Neutral Phase
3/1/1982,1982,Mar,Neutral Phase,0.6,0.25,Neutral Phase,-0.27,Neutral Phase
4/1/1982,1982,Apr,Neutral Phase,0.1,0.45,Neutral Phase,-0.36,Neutral Phase
5/1/1982,1982,May,Warm Phase/El Nino,-0.3,0.72,Warm Phase/El Nino,-0.12,Neutral Phase
6/1/1982,1982,Jun,Warm Phase/El Nino,-1,0.8,Warm Phase/El Nino,0.62,Warm Phase/El Nino
7/1/1982,1982,Jul,Warm Phase/El Nino,-1.5,0.64,Warm Phase/El Nino,1.65,Warm Phase/El Nino
8/1/1982,1982,Aug,Warm Phase/El Nino,-1.7,0.93,Warm Phase/El Nino,1.91,Warm Phase/El Nino
9/1/1982,1982,Sep,Warm Phase/El Nino,-1.7,1.64,Warm Phase/El Nino,1.69,Warm Phase/El Nino
10/1/1982,1982,Oct,Warm Phase/El Nino,-1.7,2.16,Warm Phase/El Nino,1.78,Warm Phase/El Nino
11/1/1982,1982,Nov,Warm Phase/El Nino,-2.6,2.09,Warm Phase/El Nino,2.14,Warm Phase/El Nino
12/1/1982,1982,Dec,Warm Phase/El Nino,-2.2,2.28,Warm Phase/El Nino,2.37,Warm Phase/El Nino
1/1/1983,1983,Jan,Warm Phase/El Nino,-3.5,2.32,Warm Phase/El Nino,2.48,Warm Phase/El Nino
2/1/1983,1983,Feb,Warm Phase/El Nino,-3.6,1.94,Warm Phase/El Nino,2.68,Warm Phase/El Nino
3/1/1983,1983,Mar,Warm Phase/El Nino,-2.4,1.49,Warm Phase/El Nino,2.61,Warm Phase/El Nino
4/1/1983,1983,Apr,Warm Phase/El Nino,-0.9,1.19,Warm Phase/El Nino,2.76,Warm Phase/El Nino
5/1/1983,1983,May,Warm Phase/El Nino,0.6,1.18,Warm Phase/El Nino,2.86,Warm Phase/El Nino
6/1/1983,1983,Jun,Warm Phase/El Nino,0,0.82,Warm Phase/El Nino,1.98,Warm Phase/El Nino
7/1/1983,1983,Jul,Neutral Phase,-0.6,0.17,Neutral Phase,0.63,Warm Phase/El Nino
8/1/1983,1983,Aug,Neutral Phase,0.1,-0.04,Neutral Phase,-0.17,Neutral Phase
9/1/1983,1983,Sep,Neutral Phase,0.9,-0.36,Neutral Phase,-0.49,Neutral Phase
10/1/1983,1983,Oct,Cool Phase/La Nina,0.4,-0.96,Cool Phase/La Nina,-0.53,Cool Phase/La Nina
11/1/1983,1983,Nov,Cool Phase/La Nina,-0.1,-1.1,Cool Phase/La Nina,-0.47,Neutral Phase
12/1/1983,1983,Dec,Cool Phase/La Nina,0,-0.94,Cool Phase/La Nina,-0.5,Cool Phase/La Nina
1/1/1984,1984,Jan,Cool Phase/La Nina,0.2,-0.69,Cool Phase/La Nina,-0.54,Cool Phase/La Nina
2/1/1984,1984,Feb,Neutral Phase,0.9,-0.18,Neutral Phase,-0.56,Cool Phase/La Nina
3/1/1984,1984,Mar,Neutral Phase,-0.2,-0.39,Neutral Phase,-0.16,Neutral Phase
4/1/1984,1984,Apr,Neutral Phase,0.3,-0.44,Neutral Phase,0.07,Neutral Phase
5/1/1984,1984,May,Cool Phase/La Nina,0.2,-0.46,Cool Phase/La Nina,-0.45,Neutral Phase
6/1/1984,1984,Jun,Neutral Phase,-0.3,-0.63,Neutral Phase,-0.66,Cool Phase/La Nina
7/1/1984,1984,Jul,Neutral Phase,0.2,-0.24,Neutral Phase,-0.34,Neutral Phase
8/1/1984,1984,Aug,Neutral Phase,0.4,-0.04,Neutral Phase,-0.2,Neutral Phase
9/1/1984,1984,Sep,Neutral Phase,0.1,-0.19,Neutral Phase,-0.14,Neutral Phase
10/1/1984,1984,Oct,Cool Phase/La Nina,-0.3,-0.49,Cool Phase/La Nina,-0.19,Neutral Phase
11/1/1984,1984,Nov,Cool Phase/La Nina,0.3,-1,Cool Phase/La Nina,-0.58,Cool Phase/La Nina
12/1/1984,1984,Dec,Cool Phase/La Nina,-0.1,-1.25,Cool Phase/La Nina,-0.28,Neutral Phase
1/1/1985,1985,Jan,Cool Phase/La Nina,-0.3,-1.17,Cool Phase/La Nina,-0.25,Neutral Phase
2/1/1985,1985,Feb,Cool Phase/La Nina,1.2,-0.71,Cool Phase/La Nina,-0.58,Cool Phase/La Nina
3/1/1985,1985,Mar,Cool Phase/La Nina,0.8,-0.67,Cool Phase/La Nina,-0.6,Cool Phase/La Nina
4/1/1985,1985,Apr,Cool Phase/La Nina,1.2,-0.93,Cool Phase/La Nina,-0.76,Cool Phase/La Nina
5/1/1985,1985,May,Cool Phase/La Nina,0.4,-0.75,Cool Phase/La Nina,-1.23,Cool Phase/La Nina
6/1/1985,1985,Jun,Cool Phase/La Nina,-0.4,-0.65,Cool Phase/La Nina,-0.67,Cool Phase/La Nina
7/1/1985,1985,Jul,Neutral Phase,-0.1,-0.47,Neutral Phase,-0.1,Neutral Phase
8/1/1985,1985,Aug,Neutral Phase,1,-0.35,Neutral Phase,-0.49,Neutral Phase
9/1/1985,1985,Sep,Neutral Phase,0,-0.55,Neutral Phase,-0.56,Cool Phase/La Nina
10/1/1985,1985,Oct,Neutral Phase,-0.4,-0.3,Neutral Phase,-0.08,Neutral Phase
11/1/1985,1985,Nov,Neutral Phase,-0.2,-0.2,Neutral Phase,-0.06,Neutral Phase
12/1/1985,1985,Dec,Neutral Phase,0.2,-0.32,Neutral Phase,-0.42,Neutral Phase
1/1/1986,1986,Jan,Neutral Phase,1,-0.56,Neutral Phase,-0.4,Neutral Phase
2/1/1986,1986,Feb,Neutral Phase,-1,-0.6,Neutral Phase,-0.34,Neutral Phase
3/1/1986,1986,Mar,Neutral Phase,0.5,-0.26,Neutral Phase,-0.4,Neutral Phase
4/1/1986,1986,Apr,Neutral Phase,0.3,-0.08,Neutral Phase,-0.53,Cool Phase/La Nina
5/1/1986,1986,May,Neutral Phase,-0.2,-0.27,Neutral Phase,-0.26,Neutral Phase
6/1/1986,1986,Jun,Neutral Phase,1,-0.01,Neutral Phase,0.01,Neutral Phase
7/1/1986,1986,Jul,Neutral Phase,0.3,0.17,Neutral Phase,0.41,Neutral Phase
8/1/1986,1986,Aug,Neutral Phase,-0.4,0.51,Neutral Phase,0.97,Warm Phase/El Nino
9/1/1986,1986,Sep,Warm Phase/El Nino,-0.5,0.65,Warm Phase/El Nino,1.29,Warm Phase/El Nino
10/1/1986,1986,Oct,Warm Phase/El Nino,0.6,0.98,Warm Phase/El Nino,0.56,Warm Phase/El Nino
11/1/1986,1986,Nov,Warm Phase/El Nino,-1.2,1.2,Warm Phase/El Nino,0.64,Warm Phase/El Nino
12/1/1986,1986,Dec,Warm Phase/El Nino,-1.4,1.24,Warm Phase/El Nino,1.06,Warm Phase/El Nino
1/1/1987,1987,Jan,Warm Phase/El Nino,-0.7,1.22,Warm Phase/El Nino,1.03,Warm Phase/El Nino
2/1/1987,1987,Feb,Warm Phase/El Nino,-1.2,1.23,Warm Phase/El Nino,1.16,Warm Phase/El Nino
3/1/1987,1987,Mar,Warm Phase/El Nino,-1.3,1.13,Warm Phase/El Nino,1.57,Warm Phase/El Nino
4/1/1987,1987,Apr,Warm Phase/El Nino,-1.4,0.82,Warm Phase/El Nino,1.74,Warm Phase/El Nino
5/1/1987,1987,May,Warm Phase/El Nino,-1.3,0.88,Warm Phase/El Nino,1.96,Warm Phase/El Nino
6/1/1987,1987,Jun,Warm Phase/El Nino,-1.1,1.21,Warm Phase/El Nino,2.07,Warm Phase/El Nino
7/1/1987,1987,Jul,Warm Phase/El Nino,-1.4,1.57,Warm Phase/El Nino,1.88,Warm Phase/El Nino
8/1/1987,1987,Aug,Warm Phase/El Nino,-0.9,1.76,Warm Phase/El Nino,1.46,Warm Phase/El Nino
9/1/1987,1987,Sep,Warm Phase/El Nino,-1,1.77,Warm Phase/El Nino,1.26,Warm Phase/El Nino
10/1/1987,1987,Oct,Warm Phase/El Nino,-0.4,1.42,Warm Phase/El Nino,1.18,Warm Phase/El Nino
11/1/1987,1987,Nov,Warm Phase/El Nino,0,1.27,Warm Phase/El Nino,0.9,Warm Phase/El Nino
12/1/1987,1987,Dec,Warm Phase/El Nino,-0.5,1.07,Warm Phase/El Nino,0.79,Warm Phase/El Nino
1/1/1988,1988,Jan,Warm Phase/El Nino,-0.1,0.99,Warm Phase/El Nino,0.63,Warm Phase/El Nino
2/1/1988,1988,Feb,Warm Phase/El Nino,-0.4,0.37,Warm Phase/El Nino,0.33,Neutral Phase
3/1/1988,1988,Mar,Neutral Phase,0.6,0.25,Neutral Phase,0.17,Neutral Phase
4/1/1988,1988,Apr,Neutral Phase,0.1,-0.19,Neutral Phase,-0.01,Neutral Phase
5/1/1988,1988,May,Cool Phase/La Nina,0.9,-1,Cool Phase/La Nina,-0.39,Neutral Phase
6/1/1988,1988,Jun,Cool Phase/La Nina,0.1,-1.44,Cool Phase/La Nina,-1.17,Cool Phase/La Nina
7/1/1988,1988,Jul,Cool Phase/La Nina,1,-1.45,Cool Phase/La Nina,-1.78,Cool Phase/La Nina
8/1/1988,1988,Aug,Cool Phase/La Nina,1.5,-0.99,Cool Phase/La Nina,-1.81,Cool Phase/La Nina
9/1/1988,1988,Sep,Cool Phase/La Nina,1.8,-0.87,Cool Phase/La Nina,-1.8,Cool Phase/La Nina
10/1/1988,1988,Oct,Cool Phase/La Nina,1.4,-1.71,Cool Phase/La Nina,-1.59,Cool Phase/La Nina
11/1/1988,1988,Nov,Cool Phase/La Nina,1.7,-1.85,Cool Phase/La Nina,-1.7,Cool Phase/La Nina
12/1/1988,1988,Dec,Cool Phase/La Nina,1.2,-1.83,Cool Phase/La Nina,-1.55,Cool Phase/La Nina
1/1/1989,1989,Jan,Cool Phase/La Nina,1.5,-1.87,Cool Phase/La Nina,-1.12,Cool Phase/La Nina
2/1/1989,1989,Feb,Cool Phase/La Nina,1.2,-1.37,Cool Phase/La Nina,-1.1,Cool Phase/La Nina
3/1/1989,1989,Mar,Cool Phase/La Nina,1.1,-1.05,Cool Phase/La Nina,-1.24,Cool Phase/La Nina
4/1/1989,1989,Apr,Cool Phase/La Nina,1.6,-0.82,Cool Phase/La Nina,-1.09,Cool Phase/La Nina
5/1/1989,1989,May,Cool Phase/La Nina,1.2,-0.61,Cool Phase/La Nina,-1.03,Cool Phase/La Nina
6/1/1989,1989,Jun,Neutral Phase,0.7,-0.29,Neutral Phase,-0.99,Cool Phase/La Nina
7/1/1989,1989,Jul,Neutral Phase,0.9,-0.3,Neutral Phase,-1.08,Cool Phase/La Nina
8/1/1989,1989,Aug,Neutral Phase,-0.3,-0.33,Neutral Phase,-0.66,Cool Phase/La Nina
9/1/1989,1989,Sep,Neutral Phase,0.5,-0.18,Neutral Phase,-0.53,Cool Phase/La Nina
10/1/1989,1989,Oct,Neutral Phase,0.8,-0.22,Neutral Phase,-0.49,Neutral Phase
11/1/1989,1989,Nov,Neutral Phase,-0.2,-0.25,Neutral Phase,-0.36,Neutral Phase
12/1/1989,1989,Dec,Neutral Phase,-0.5,-0.01,Neutral Phase,-0.07,Neutral Phase
1/1/1990,1990,Jan,Neutral Phase,-0.1,0.11,Neutral Phase,0.13,Neutral Phase
2/1/1990,1990,Feb,Neutral Phase,-1.8,0.31,Neutral Phase,0.45,Neutral Phase
3/1/1990,1990,Mar,Neutral Phase,-0.4,0.2,Neutral Phase,0.61,Warm Phase/El Nino
4/1/1990,1990,Apr,Neutral Phase,0.2,0.33,Neutral Phase,0.17,Neutral Phase
5/1/1990,1990,May,Neutral Phase,1.2,0.34,Neutral Phase,0.08,Neutral Phase
6/1/1990,1990,Jun,Neutral Phase,0.3,0.21,Neutral Phase,0.05,Neutral Phase
7/1/1990,1990,Jul,Neutral Phase,0.5,0.37,Neutral Phase,0.13,Neutral Phase
8/1/1990,1990,Aug,Neutral Phase,-0.2,0.42,Neutral Phase,0.02,Neutral Phase
9/1/1990,1990,Sep,Neutral Phase,-0.7,0.35,Neutral Phase,0.22,Neutral Phase
10/1/1990,1990,Oct,Neutral Phase,0.3,0.4,Neutral Phase,-0.07,Neutral Phase
11/1/1990,1990,Nov,Neutral Phase,-0.5,0.31,Neutral Phase,0.12,Neutral Phase
12/1/1990,1990,Dec,Neutral Phase,-0.2,0.48,Neutral Phase,0.31,Neutral Phase
1/1/1991,1991,Jan,Neutral Phase,0.6,0.45,Neutral Phase,0.19,Neutral Phase
2/1/1991,1991,Feb,Neutral Phase,0.3,0.29,Neutral Phase,0.08,Neutral Phase
3/1/1991,1991,Mar,Neutral Phase,-0.7,0.05,Neutral Phase,0.2,Neutral Phase
4/1/1991,1991,Apr,Neutral Phase,-0.6,0.32,Neutral Phase,0.2,Neutral Phase
5/1/1991,1991,May,Neutral Phase,-1,0.4,Neutral Phase,0.35,Neutral Phase
6/1/1991,1991,Jun,Warm Phase/El Nino,-0.1,0.65,Warm Phase/El Nino,0.97,Warm Phase/El Nino
7/1/1991,1991,Jul,Warm Phase/El Nino,0,0.86,Warm Phase/El Nino,0.91,Warm Phase/El Nino
8/1/1991,1991,Aug,Warm Phase/El Nino,-0.4,0.69,Warm Phase/El Nino,0.37,Neutral Phase
9/1/1991,1991,Sep,Warm Phase/El Nino,-1.5,0.36,Warm Phase/El Nino,0.54,Warm Phase/El Nino
10/1/1991,1991,Oct,Warm Phase/El Nino,-1,0.82,Warm Phase/El Nino,0.97,Warm Phase/El Nino
11/1/1991,1991,Nov,Warm Phase/El Nino,-0.7,1.19,Warm Phase/El Nino,1.04,Warm Phase/El Nino
12/1/1991,1991,Dec,Warm Phase/El Nino,-1.8,1.62,Warm Phase/El Nino,1.23,Warm Phase/El Nino
1/1/1992,1992,Jan,Warm Phase/El Nino,-2.9,1.78,Warm Phase/El Nino,1.68,Warm Phase/El Nino
2/1/1992,1992,Feb,Warm Phase/El Nino,-0.9,1.74,Warm Phase/El Nino,1.58,Warm Phase/El Nino
3/1/1992,1992,Mar,Warm Phase/El Nino,-2,1.38,Warm Phase/El Nino,1.71,Warm Phase/El Nino
4/1/1992,1992,Apr,Warm Phase/El Nino,-1,1.32,Warm Phase/El Nino,1.97,Warm Phase/El Nino
5/1/1992,1992,May,Warm Phase/El Nino,0.3,1.16,Warm Phase/El Nino,1.68,Warm Phase/El Nino
6/1/1992,1992,Jun,Warm Phase/El Nino,-0.6,0.7,Warm Phase/El Nino,1.51,Warm Phase/El Nino
7/1/1992,1992,Jul,Neutral Phase,-0.6,0.33,Neutral Phase,0.62,Warm Phase/El Nino
8/1/1992,1992,Aug,Neutral Phase,0.4,0.07,Neutral Phase,-0.02,Neutral Phase
9/1/1992,1992,Sep,Neutral Phase,0.1,-0.13,Neutral Phase,0.4,Neutral Phase
10/1/1992,1992,Oct,Neutral Phase,-1.4,-0.34,Neutral Phase,0.67,Warm Phase/El Nino
11/1/1992,1992,Nov,Neutral Phase,-0.7,-0.28,Neutral Phase,0.62,Warm Phase/El Nino
12/1/1992,1992,Dec,Neutral Phase,-0.6,-0.21,Neutral Phase,0.73,Warm Phase/El Nino
1/1/1993,1993,Jan,Neutral Phase,-0.9,0.1,Neutral Phase,0.79,Warm Phase/El Nino
2/1/1993,1993,Feb,Neutral Phase,-0.7,0.38,Neutral Phase,0.89,Warm Phase/El Nino
3/1/1993,1993,Mar,Neutral Phase,-0.5,0.4,Neutral Phase,0.77,Warm Phase/El Nino
4/1/1993,1993,Apr,Warm Phase/El Nino,-1.2,0.71,Warm Phase/El Nino,0.98,Warm Phase/El Nino
5/1/1993,1993,May,Warm Phase/El Nino,-0.3,0.91,Warm Phase/El Nino,1.47,Warm Phase/El Nino
6/1/1993,1993,Jun,Warm Phase/El Nino,-0.8,0.48,Warm Phase/El Nino,1.51,Warm Phase/El Nino
7/1/1993,1993,Jul,Neutral Phase,-0.8,0.33,Neutral Phase,0.9,Warm Phase/El Nino
8/1/1993,1993,Aug,Neutral Phase,-0.9,0.15,Neutral Phase,0.6,Warm Phase/El Nino
9/1/1993,1993,Sep,Neutral Phase,-0.7,0.29,Neutral Phase,0.61,Warm Phase/El Nino
10/1/1993,1993,Oct,Neutral Phase,-1.1,0.02,Neutral Phase,0.96,Warm Phase/El Nino
11/1/1993,1993,Nov,Neutral Phase,-0.1,0.01,Neutral Phase,0.7,Warm Phase/El Nino
12/1/1993,1993,Dec,Neutral Phase,0.2,0.1,Neutral Phase,0.27,Neutral Phase
1/1/1994,1994,Jan,Neutral Phase,-0.1,0.06,Neutral Phase,-0.01,Neutral Phase
2/1/1994,1994,Feb,Neutral Phase,0.3,0.03,Neutral Phase,-0.21,Neutral Phase
3/1/1994,1994,Mar,Neutral Phase,-0.7,0.11,Neutral Phase,-0.23,Neutral Phase
4/1/1994,1994,Apr,Neutral Phase,-1.3,0.38,Neutral Phase,0.01,Neutral Phase
5/1/1994,1994,May,Neutral Phase,-0.7,0.43,Neutral Phase,-0.03,Neutral Phase
6/1/1994,1994,Jun,Neutral Phase,-0.4,0.44,Neutral Phase,0.25,Neutral Phase
7/1/1994,1994,Jul,Neutral Phase,-1.3,0.35,Neutral Phase,0.96,Warm Phase/El Nino
8/1/1994,1994,Aug,Neutral Phase,-1.2,0.54,Neutral Phase,0.87,Warm Phase/El Nino
9/1/1994,1994,Sep,Warm Phase/El Nino,-1.6,0.41,Warm Phase/El Nino,1.1,Warm Phase/El Nino
10/1/1994,1994,Oct,Warm Phase/El Nino,-1.1,0.71,Warm Phase/El Nino,1.52,Warm Phase/El Nino
11/1/1994,1994,Nov,Warm Phase/El Nino,-0.6,1.11,Warm Phase/El Nino,1.01,Warm Phase/El Nino
12/1/1994,1994,Dec,Warm Phase/El Nino,-1.2,1.19,Warm Phase/El Nino,0.91,Warm Phase/El Nino
1/1/1995,1995,Jan,Warm Phase/El Nino,-0.4,0.98,Warm Phase/El Nino,0.82,Warm Phase/El Nino
2/1/1995,1995,Feb,Warm Phase/El Nino,-0.1,0.71,Warm Phase/El Nino,0.54,Warm Phase/El Nino
3/1/1995,1995,Mar,Warm Phase/El Nino,0.8,0.48,Warm Phase/El Nino,0.17,Neutral Phase
4/1/1995,1995,Apr,Neutral Phase,-0.7,0.41,Neutral Phase,0.13,Neutral Phase
5/1/1995,1995,May,Neutral Phase,-0.4,0.02,Neutral Phase,0.14,Neutral Phase
6/1/1995,1995,Jun,Neutral Phase,0.1,-0.01,Neutral Phase,0.01,Neutral Phase
7/1/1995,1995,Jul,Neutral Phase,0.4,-0.11,Neutral Phase,-0.29,Neutral Phase
8/1/1995,1995,Aug,Cool Phase/La Nina,0.3,-0.61,Cool Phase/La Nina,-0.7,Cool Phase/La Nina
